date,1. open,2. high,3. low,4. close,5. volume
2021-03-12 16:00:00,689.47,694.8,684.1101,693.84,4223829.0
2021-03-12 15:00:00,684.84,691.195,681.248,689.42,3112306.0
2021-03-12 14:00:00,687.585,690.57,684.08,684.72,2663804.0
2021-03-12 13:00:00,687.78,694.88,683.27,687.43,5199171.0
2021-03-12 12:00:00,676.69,689.77,673.7615,687.675,4819686.0
2021-03-12 11:00:00,682.51,684.05,671.53,676.8875,5562948.0
2021-03-12 10:00:00,673.8004,686.18,666.1394,682.03,6135430.0
2021-03-12 09:00:00,675.0201,684.97,673.36,674.0,344686.0
2021-03-12 08:00:00,672.64,684.9,671.0,681.5,303910.0
2021-03-12 07:00:00,671.22,673.5,670.0,671.94,38162.0
2021-03-12 06:00:00,673.51,674.2,669.0,672.0,60471.0
2021-03-12 05:00:00,675.0,693.0,666.59,672.24,180397.0
2021-03-11 20:00:00,698.25,699.0,697.98,698.5,86606.0
2021-03-11 19:00:00,696.25,698.5,696.15,698.1,68677.0
2021-03-11 18:00:00,696.67,697.0,694.2801,695.85,75847.0
2021-03-11 17:00:00,699.6,701.8,695.5001,696.22,430983.0
2021-03-11 16:00:00,691.522,702.5,690.0,699.6,5706792.0
2021-03-11 15:00:00,691.645,695.52,690.144,691.67,2503672.0
2021-03-11 14:00:00,690.2,699.5,688.9,691.63,4078247.0
2021-03-11 13:00:00,688.649,693.2499,685.21,690.035,2903365.0
2021-03-11 12:00:00,686.91,697.3486,686.75,688.44,5718940.0
2021-03-11 11:00:00,690.63,693.9,677.18,686.75,6456965.0
2021-03-11 10:00:00,697.0,700.0,684.0,690.63,6435195.0
2021-03-11 09:00:00,695.96,699.82,691.0,697.0,433113.0
2021-03-11 08:00:00,696.72,697.01,691.0,695.0,293697.0
2021-03-11 07:00:00,699.5,705.0,695.0,697.49,30612.0
2021-03-11 06:00:00,692.58,700.0,690.12,698.3,39498.0
2021-03-11 05:00:00,687.0,705.79,687.0,693.0,179013.0
2021-03-10 20:00:00,668.52,669.72,664.0,664.56,82629.0
2021-03-10 19:00:00,671.48,672.0,668.26,668.7,40321.0
2021-03-10 18:00:00,671.77,673.0,670.5001,672.0,45741.0
2021-03-10 17:00:00,668.06,674.4,668.0,671.77,312258.0
2021-03-10 16:00:00,681.0501,683.99,664.64,668.27,5175532.0
2021-03-10 15:00:00,662.285,682.72,659.81,681.425,5661083.0
2021-03-10 14:00:00,674.45,674.97,658.12,662.2878,5834678.0
2021-03-10 13:00:00,682.4,683.58,655.06,674.425,7106797.0
2021-03-10 12:00:00,685.7799,692.99,675.3,681.75,6658639.0
2021-03-10 11:00:00,702.77,704.7699,670.0,685.84,13647891.0
2021-03-10 10:00:00,697.46,717.85,691.54,702.78,13370438.0
2021-03-10 09:00:00,674.6303,697.5,671.88,697.0,1012403.0
2021-03-10 08:00:00,674.0,683.19,669.0,678.0,395871.0
2021-03-10 07:00:00,674.84,675.0,661.32,672.5,160821.0
2021-03-10 06:00:00,676.95,688.0,674.13,674.59,102139.0
2021-03-10 05:00:00,691.57,693.4,671.03,676.97,206034.0
2021-03-09 20:00:00,689.56,689.96,685.59,689.21,224682.0
2021-03-09 19:00:00,686.6001,693.9,686.0,689.36,335291.0
2021-03-09 18:00:00,677.28,688.88,676.71,686.9,594533.0
2021-03-09 17:00:00,673.58,677.69,666.57,677.0,664399.0
2021-03-09 16:00:00,665.865,675.23,663.49,673.58,8123622.0
2021-03-09 15:00:00,674.12,676.0,657.4,666.015,8519161.0
2021-03-09 14:00:00,654.0,678.09,653.98,674.115,12024297.0
2021-03-09 13:00:00,642.095,654.68,640.06,653.9857,5657378.0
2021-03-09 12:00:00,630.42,648.0,628.25,641.81,8323736.0
2021-03-09 11:00:00,612.5755,634.7609,608.33,630.28,11406034.0
2021-03-09 10:00:00,603.5,614.5,595.21,612.51,9359143.0
2021-03-09 09:00:00,589.5239,605.5,588.25,603.2,673420.0
2021-03-09 08:00:00,595.0,595.78,588.31,593.0,311865.0
2021-03-09 07:00:00,590.05,597.38,589.3,594.9,59455.0
2021-03-09 06:00:00,587.0,590.8,584.02,590.8,39762.0
2021-03-09 05:00:00,581.16,593.0,577.0,590.0,116556.0
2021-03-08 20:00:00,568.97,569.05,566.0,567.0,92809.0
2021-03-08 19:00:00,556.0,571.5,555.13,568.25,253986.0
2021-03-08 18:00:00,560.34,563.0,554.0,555.12,192084.0
2021-03-08 17:00:00,563.0,583.5597,559.0,560.0001,457110.0
2021-03-08 16:00:00,572.485,572.73,558.79,562.97,8293002.0
2021-03-08 15:00:00,570.0275,580.0,565.0,573.0,5610634.0
2021-03-08 14:00:00,583.9158,587.55,568.0801,570.19,5058916.0
2021-03-08 13:00:00,581.6019,594.64,580.0,583.9522,4415438.0
2021-03-08 12:00:00,603.5,606.3,579.51,581.79,6365617.0
2021-03-08 11:00:00,596.62,612.8923,590.0,603.52,8878633.0
2021-03-08 10:00:00,595.01,620.125,584.01,596.23,10473896.0
2021-03-08 09:00:00,582.5,595.5,578.2701,595.01,465015.0
2021-03-08 08:00:00,580.0,586.0,578.69,582.5,297010.0
2021-03-08 07:00:00,578.52,587.0,572.1,578.85,127251.0
2021-03-08 06:00:00,564.69,580.11,564.69,578.43,103900.0
2021-03-08 05:00:00,583.2,584.8,558.0,564.5,203398.0
2021-03-05 20:00:00,597.5,597.5,595.8001,596.25,59363.0
2021-03-05 19:00:00,596.12,597.9399,596.0,597.1301,42220.0
2021-03-05 18:00:00,596.04,597.95,595.0,596.52,111297.0
2021-03-05 17:00:00,597.95,597.95,592.72,596.2,520793.0
2021-03-05 16:00:00,601.55,604.71,592.77,597.496,7107353.0
2021-03-05 15:00:00,597.3386,603.98,582.46,601.67,6784181.0
2021-03-05 14:00:00,589.51,606.1071,579.0,597.09,9130507.0
2021-03-05 13:00:00,568.61,600.0,557.85,589.51,13066425.0
2021-03-05 12:00:00,575.38,577.5447,539.49,568.85,19424816.0
2021-03-05 11:00:00,590.585,596.65,570.0,575.27,18816660.0
2021-03-05 10:00:00,620.97,632.22,581.33,590.79,12419500.0
2021-03-05 09:00:00,614.0,621.88,605.2,620.5,733683.0
2021-03-05 08:00:00,615.25,617.28,608.0,616.85,267176.0
2021-03-05 07:00:00,609.5,620.8,609.22,615.49,76879.0
2021-03-05 06:00:00,606.04,611.03,604.0,609.99,28954.0
2021-03-05 05:00:00,610.5,613.0,605.0,606.03,98166.0
2021-03-04 20:00:00,605.62,605.8,600.0,600.1,358323.0
2021-03-04 19:00:00,614.74,616.75,605.36,606.0,132601.0
2021-03-04 18:00:00,614.9,621.44,614.0,614.6,516191.0
2021-03-04 17:00:00,621.44,622.8,614.0,614.8,402115.0
2021-03-04 16:00:00,621.66,626.3067,611.18,621.49,6662002.0
2021-03-04 15:00:00,601.35,623.8959,600.0,621.9099,10414530.0
2021-03-04 14:00:00,611.155,619.0598,601.1,601.535,10711363.0
2021-03-04 13:00:00,635.77,639.1999,606.67,611.0908,9641815.0
2021-03-04 12:00:00,651.9,654.9,635.02,635.7511,5911023.0
2021-03-04 11:00:00,639.48,654.6299,617.01,651.52,13485229.0
2021-03-04 10:00:00,656.05,668.45,638.0,639.315,6396831.0
2021-03-04 09:00:00,647.0,658.87,645.0,656.8,304643.0
2021-03-04 08:00:00,650.07,658.85,645.9,650.0,276119.0
2021-03-04 07:00:00,643.59,650.75,639.18,650.17,31933.0
2021-03-04 06:00:00,648.0,651.0,641.01,643.02,47943.0
2021-03-04 05:00:00,654.81,660.0,636.0,648.0,108802.0
2021-03-03 20:00:00,650.0,655.88,649.12,653.93,127840.0
2021-03-03 19:00:00,659.0,660.1,650.0,650.0,162555.0
2021-03-03 18:00:00,656.89,661.5,656.0,659.68,104231.0
2021-03-03 17:00:00,652.25,676.2951,650.0,656.25,590096.0
2021-03-03 16:00:00,668.5,668.5,651.705,652.22,5845447.0
2021-03-03 15:00:00,671.6,672.75,662.1,668.49,4328673.0
2021-03-03 14:00:00,676.96,683.27,669.1906,671.49,2470274.0
2021-03-03 13:00:00,682.3,684.36,676.665,677.1308,1994642.0
2021-03-03 12:00:00,688.83,694.7,682.29,682.5,3534240.0
2021-03-03 11:00:00,690.98,692.99,673.393,688.74,5879762.0
2021-03-03 10:00:00,685.0,700.7,682.35,691.09,4013223.0
2021-03-03 09:00:00,697.04,700.7,681.0,685.58,346942.0
2021-03-03 08:00:00,698.32,700.62,694.45,697.63,110507.0
2021-03-03 07:00:00,699.0,699.0,692.02,698.5,29814.0
2021-03-03 06:00:00,699.0,699.05,695.02,698.5,12745.0
2021-03-03 05:00:00,699.0,702.5,697.06,699.0,24302.0
